Product Name,MRP,Selling Price,Discount %,Brand,Rating,Review Count,Platform
"Samsung Galaxy A56 5G (Awesome Graphite, 12GB, 256GB) | Metal Frame | Gemini Live | Awesome Intelligence (AI): Circle to Search, Instant Slo-Mo, Auto-Trim, Object Eraser | Flagship Grade Camera","₹52,999","44,999",(15% off),Samsung,4.2 out of 5 stars,231,Amazon
"Lava Bold N1 (Sparkling Ivory, 4 GB RAM, 64 GB Storage)| 6.75"" (90 Hz) HD+ Display | 13MP AI Dual Rear Camera | 5000 mAh Battery | Secure Face Unlock | Fingerprint Reader | Charger & Phone-Case in Box","₹7,499","5,999",(20% off),Lava,3.9 out of 5 stars,63,Amazon
"Samsung Galaxy A06 5G (Light Green, 6GB RAM, 128GB Storage) | 50MP Dual Camera | 4 Gen OS Upgrades | IP54 Rating | Voice Focus","₹16,999","12,999",(24% off),Samsung,4.0 out of 5 stars,48,Amazon
"iQOO Z9x 5G (Tornado Green, 6GB RAM, 128GB Storage) | Snapdragon 6 Gen 1 with 560k+ AnTuTu Score | 6000mAh Battery with 7.99mm Slim Design | 44W FlashCharge","₹18,999","13,499",(29% off),iQOO,4.2 out of 5 stars,"10,205",Amazon
"Samsung Galaxy S25 Ultra 5G Smartphone with Galaxy AI (Titanium Whitesilver, 12GB RAM, 256GB Storage), Titanium Frame, Snapdragon 8 Elite, 200 MP Camera with ProVisual Engine and 5000mAh Battery",,"1,29,999",,Samsung,4.2 out of 5 stars,352,Amazon
"Redmi A4 5G (Starry Black, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging","₹11,999","8,798",(27% off),Redmi,3.9 out of 5 stars,Let us know,Amazon
"Redmi 14C 5G (Starlight Blue, 4GB RAM, 64GB Storage) | Superfast 4nm Snapdragon 4 Gen 2 | 120Hz 17.47cm (6.88”) Display | 5160mAh Battery | 50MP Dual Camera | Premium Starlight Design","₹12,999","9,498",(27% off),Redmi,4.0 out of 5 stars,Let us know,Amazon
"Samsung Galaxy M36 5G (Orange Haze, 6 GB RAM, 128 GB Storage)| Circle to Search| Google Gemini| Corning Gorilla Glass Victus+| 7.7mm Slim| AI Enhanced 50 MP OIS Triple Camera| Unmatched Nightography","₹22,999","17,499",(24% off),Samsung,3.8 out of 5 stars,Let us know,Amazon
Redmi Note 14 Pro+ 5G Phantom Purple 12GB RAM 512GB Storage | 50 MP Triple Camera with Telephoto | Corning Gorilla Glass Victus 2 | IP 68 | SD 7s Gen 3,"₹39,999","32,999",(18% off),Redmi,3.8 out of 5 stars,Let us know,Amazon
"POCO C75 5G, Aqua Bliss (4GB, 64GB)","₹10,999","7,699",(30% off),POCO,4.2 out of 5 stars,233,Amazon
"Lava Storm Lite 5G (Astral Blue, 4+4*GB RAM, 64GB Storage) | India's First MTK Dimensity 6400 Processor | 50MP AI Camera | IP64 Rated | 120 Hz Display | 5000mAh Battery | Supports All 5G Bands","₹10,999","7,999",(27% off),Lava,3.9 out of 5 stars,138,Amazon
"Tecno POP 9 5G (Azure Sky, 8GB+128GB) | D6300 5G Processor | 48MP Sony AI Camera | 4+ Year Lag Free Fluency |5000 mAh Battery |Dual Speaker | Without Charger","₹14,999","9,499",(37% off),Tecno,4.0 out of 5 stars,837,Amazon
"Infinix Note 50s 5G+ (Titanium Grey, 8GB RAM, 256GB Storage) | MediaTek D7300 Ultimate | 5500mAH Battery, Dual Speakers by JBL, 144Hz AMOLED Display","₹24,999","17,999",(28% off),Infinix,4.0 out of 5 stars,58,Amazon
"Tecno POP 9 (Glittery White, 3GB+64GB) |India's 1st Mediatek G50 | IP54 Rated | IR Remote | Dual Speaker with DTS | 36 Month Lag Free Fluency | 15W Fast Charging Support | 5000 mAh Battery","₹8,499","6,098",(28% off),Tecno,4.1 out of 5 stars,560,Amazon
"OnePlus 13R | Smarter with OnePlus AI | Lifetime Display Warranty (12GB RAM, 256GB Storage Nebula Noir)","₹44,999","39,999",(11% off),OnePlus,4.3 out of 5 stars,"2,110",Amazon
"iQOO Z10x 5G (Titanium, 8GB RAM, 128GB Storage) | 6500 mAh Large Capacity Battery | Dimensity 7300 Processor | Military-Grade Durability","₹18,999","14,998",(21% off),iQOO,4.3 out of 5 stars,"2,612",Amazon
"Acer Super ZX 5G (Cosmic Green, 8GB RAM, 128GB Storage) | 120 Hz FHD+ Display | 5000 mAh Ultra-Thin Battery | Dimensity 6300 5G Processor | Sony 64MP AI Camera","₹21,999","11,998",(45% off),Acer,3.5 out of 5 stars,412,Amazon
"Redmi 13 5G Prime Edition, Hawaiian Blue, 8GB+128GB | India Debut SD 4 Gen 2 AE | 108MP Pro Grade Camera | 6.79in Largest Display in Segment","₹19,999","11,699",(42% off),Redmi,4.0 out of 5 stars,Let us know,Amazon
"Redmi 14C 5G (Starlight Blue, 4GB RAM, 128GB Storage) | Superfast 4nm Snapdragon 4 Gen 2 | 120Hz 17.47cm (6.88”) Display | 5160mAh Battery | 50MP Dual Camera | Premium Starlight Design","₹13,999","10,498",(25% off),Redmi,4.0 out of 5 stars,Let us know,Amazon
"realme Motorola Edge 50 Fusion 5G (Forest Blue, 8Gb Ram, 128Gb Storage)","₹25,999","19,900",(23% off),realme,4.2 out of 5 stars,265,Amazon
"realme P1 Speed 5G (Textured Titanium, 256 GB) (12 GB RAM)","₹22,999","17,493",(24% off),realme,4.0 out of 5 stars,39,Amazon
"Redmi A3X (Midnight Black, 3GB RAM, 64GB Storage) | Premium Halo Design | 90Hz Display | Powerful Octa Core Processor","₹9,999","6,449",(36% off),Redmi,4.0 out of 5 stars,158,Amazon
"iQOO Z10x 5G (Titanium, 8GB RAM, 256GB Storage) | 6500 mAh Large Capacity Battery | Dimensity 7300 Processor | Military-Grade Durability","₹20,499","16,498",(20% off),iQOO,4.3 out of 5 stars,"2,612",Amazon
"Lava Bold N1 Pro (Stealth Black, 4 GB RAM, 128 GB Storage)| Bigger 6.67"" HD+ IP54 Display | 120 Hz Refresh Rate | 50 MP AI Triple Rear Camera | 8 MP Front Camera| 5000 mAh Battery| Charger in Box","₹8,399","6,898",(18% off),Lava,4.0 out of 5 stars,283,Amazon
"iQOO 13 5G (Ace Green, 12GB RAM, 256GB Storage) | Snapdragon 8 Elite Mobile Platform | World's First Q10 2K 144Hz Ultra EyeCare Display | Supercomputing chip Q2","₹61,999","54,998",(11% off),iQOO,4.4 out of 5 stars,"1,849",Amazon
"OnePlus Nord 4 5G (Oasis Green, 8GB RAM, 256GB Storage) | Lifetime Display Warranty | Qualcomm® Snapdragon™ 7 Plus Gen 3 | ANTUTU Score 1.5Mn+ | OnePlus AI","₹32,999","26,999",(18% off),OnePlus,4.3 out of 5 stars,"4,648",Amazon
"Samsung Galaxy A36 5G (Awesome Lavender, 12GB, 256GB) | Gemini Live | Awesome Intelligence (AI): Circle to Search, My Filter, Object Eraser | 4nm Snapdragon Processor | Flagship Grade Camera","₹41,999","36,999",(12% off),Samsung,4.0 out of 5 stars,220,Amazon
"Redmi A4 5G (Sparkle Purple, 4GB RAM, 128GB Storage) | Global Debut SD 4s Gen 2 | Segment Largest 6.88in 120Hz | 50MP Dual Camera | 18W Fast Charging","₹11,499","8,798",(23% off),Redmi,3.9 out of 5 stars,Let us know,Amazon
"Redmi 14C 5G (Stardust Purple, 4GB RAM, 64GB Storage) | Superfast 4nm Snapdragon 4 Gen 2 | 120Hz 17.47cm (6.88â€) Display | 5160mAh Battery | 50MP Dual Camera | Premium Starlight Design","₹12,999","9,498",(27% off),Redmi,3.6 out of 5 stars,Let us know,Amazon
"Samsung Galaxy M36 5G (Orange Haze, 6 GB RAM, 128 GB Storage)| Circle to Search| Google Gemini| Corning Gorilla Glass Victus+| 7.7mm Slim| AI Enhanced 50 MP OIS Triple Camera| Unmatched Nightography","₹22,999","17,499",(24% off),Samsung,3.8 out of 5 stars,Let us know,Amazon
"Acer Super ZX 5G (Carbon Black, 6GB RAM, 128GB Storage) | 120 Hz FHD+ Display | 5000 mAh Ultra-Thin Battery | Dimensity 6300 5G Processor | Sony 64MP AI Camera","₹19,999","10,998",(45% off),Acer,3.5 out of 5 stars,Let us know,Amazon
"Vivo Y39 5G (Lotus Purple, 8GB RAM, 128GB Storage) with No Cost EMI/Additional Exchange Offers","₹21,999","16,998",(23% off),Vivo,4.2 out of 5 stars,142,Amazon
"Xiaomi 14 CIVI (Cruise Blue, 12GB RAM, 512GB Storage)","₹59,999","31,999",(47% off),Xiaomi,4.0 out of 5 stars,403,Amazon
"POCO M7 5G Mint Green 6GB RAM|128GB ROM|SD4 Gen2 Processor|6.88"" HD+ Display|50MP Camera|8MP Front Camera|5160 mAh Battery","₹12,999","9,299",(28% off),POCO,4.3 out of 5 stars,80,Amazon
"Samsung Galaxy A55 5G (Awesome Navy, 8GB RAM, 128GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Video| Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED Display","₹42,999","24,999",(42% off),Samsung,4.2 out of 5 stars,"1,701",Amazon
"Samsung Galaxy A55 5G (Awesome Iceblue, 12GB RAM, 256GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Video| Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED Display","₹48,999","31,999",(35% off),Samsung,4.2 out of 5 stars,"1,701",Amazon
"iQOO 13 5G (Ace Green, 16GB RAM, 512GB Storage) | Snapdragon 8 Elite Mobile Platform | World's First Q10 2K 144Hz Ultra EyeCare Display | Supercomputing chip Q2","₹66,999","59,998",(10% off),iQOO,4.4 out of 5 stars,"1,849",Amazon
"Redmi 14C 5G (Starlight Blue, 6GB RAM, 128GB Storage) | Superfast 4nm Snapdragon 4 Gen 2 | 120Hz 17.47cm (6.88”) Display | 5160mAh Battery | 50MP Dual Camera | Premium Starlight Design","₹14,999","11,498",(23% off),Redmi,4.0 out of 5 stars,"1,197",Amazon
"Motorola Moto G85 5G (128, Cobalt Blue, New)","₹20,999","16,240",(23% off),Motorola,4.2 out of 5 stars,327,Amazon
Redmi Note 14 Pro+ 5G Titan Black 8GB RAM 128GB Storage| 50 MP Triple Camera with Telephoto | Corning Gorilla Glass Victus 2 | IP 68 | SD 7s Gen 3,"₹34,999","27,999",(20% off),Redmi,,Let us know,Amazon
"Redmi 14C 5G (Stardust Purple, 4GB RAM, 64GB Storage) | Superfast 4nm Snapdragon 4 Gen 2 | 120Hz 17.47cm (6.88â€) Display | 5160mAh Battery | 50MP Dual Camera | Premium Starlight Design","₹12,999","9,498",(27% off),Redmi,3.6 out of 5 stars,Let us know,Amazon
"realme NARZO 80x 5G (Deep Ocean,6GB+128GB) | Dimensity 6400 5G Chipset | 6000mAh Long-Lasting Battery | 45W Fast Charge | 120Hz Eye Comfort Display | IP69 Top-Tier Waterproof","₹15,999","12,998",(19% off),realme,4.1 out of 5 stars,895,Amazon
OnePlus Nord CE5 | Massive 7100mAh Battery | MediaTek Dimensity 8350 Apex | Powered by OnePlus AI | 8GB + 256GB | Nexus Blue,,"26,998",,OnePlus,4.2 out of 5 stars,277,Amazon
"Samsung Galaxy M35 5G (Thunder Grey,8GB RAM,128GB Storage)| Corning Gorilla Glass Victus+| AnTuTu Score 595K+| Vapour Cooling Chamber| 6000mAh Battery| 120Hz Super AMOLED Display| AI| Without Charger","₹25,999","16,499",(37% off),Samsung,4.2 out of 5 stars,"12,423",Amazon
"Samsung Galaxy A55 5G (Awesome Iceblue, 8GB RAM, 128GB Storage) | AI | Metal Frame | 50 MP Main Camera (OIS) | Super HDR Video| Nightography | IP67 | Corning Gorilla Glass Victus+ | sAMOLED Display","₹42,999","24,999",(42% off),Samsung,4.2 out of 5 stars,"1,701",Amazon
POCO M6 Plus 5G Ice Silver 8GB RAM 128GB ROM,"₹14,499","10,499",(28% off),POCO,3.9 out of 5 stars,625,Amazon
"OPPO A5 Pro 5G (Feather Blue, 8GB RAM, 256GB Storage)|6.67” HD+ 120Hz Refresh Rate Screen | 45W SUPERVOOC|with No Cost EMI/Additional Exchange Offers.","₹23,999","19,998",(17% off),OPPO,3.7 out of 5 stars,80,Amazon
