Brand,Brand_Model,Color,Platform,MRP,Selling_Price,Discount_Price,Discount,RAM,ROM,Display_Size,Battery,Front_Cam(MP),Back_Cam(MP),Processor,Ratings,Rating_Count,Review_Count
realme,realme C61,Marble Black,Flipkart,8999,7699,1300,14,4,64,6.745,5000,5,50,T612 Processor,4.4,9818,322
Motorola,Motorola G85 5G,Urban Grey,Flipkart,20999,15999,5000,23,8,128,6.67,5000,32,50,6s Gen 3 Processor,4.4,217987,11163
vivo,vivo T4 5G,Phantom Grey,Flipkart,25999,21999,4000,15,8,128,6.77,7300,32,50,Snapdragon 7s Gen 3 5G Processor,4.5,40354,1979
Motorola,Motorola g64 5G,Berry Red,Flipkart,19999,15999,4000,20,12,256,6.5,6000,16,20,Dimensity 7025 Processor,4.2,85325,5457
Tecno,Tecno Spark Go,Turquoise Green,Flipkart,8499,6699,1800,21,3,64,6.67,5000,12,13,T7250 Processor,4.3,654,53
REDMI,REDMI A4 5G,Starry Black,Flipkart,10999,8630,2369,21,4,64,6.88,5160,8,50,T7250 Processor,4.3,7020,337
OPPO,OPPO Reno14 5G,Pearl White,Flipkart,42999,37999,5000,11,8,256,6.59,6000,50,50,Dimensity 8350 Processor,4.4,1129,135
vivo,vivo T4 5G,Phantom Grey,Flipkart,25999,21999,4000,15,8,128,6.77,7300,32,50,Snapdragon 7s Gen 3 5G Processor,4.5,40354,1979
Samsung,Samsung Galaxy S24,Blue,Flipkart,59999,35999,24000,40,8,128,6.7,4700,10,32,Exynos 2400e Processor,4.5,12849,1043
Samsung,Samsung Galaxy S24,Blue,Flipkart,59999,35999,24000,40,8,128,6.7,4700,10,50,Exynos 2400e Processor,4.5,12849,1043
Apple,Apple iPhone 16,Ultramarine,Flipkart,89900,79999,9901,11,8,128,6.7,4700,12,50,A18 Chip 6 Core Processor Processor,4.6,3067,171
OPPO,OPPO F27 Pro+,Midnight Navy,Flipkart,32999,18749,14250,43,8,128,6.7,5000,8,50,Dimensity 7050 Processor,4.4,6858,307
Samsung,Samsung Galaxy S24,Blue,Flipkart,59999,35999,24000,40,8,128,6.7,4700,10,32,Exynos 2400e Processor,4.5,12849,1043
Samsung,Samsung Galaxy S24,Blue,Flipkart,59999,35999,24000,40,8,128,6.7,4700,10,50,Exynos 2400e Processor,4.5,12849,1043
Samsung,Samsung Galaxy S24,Titanium Gray,Flipkart,134999,82997,52002,38,12,256,6.8,5000,12,50,Snapdragon 8 Gen 3 Processor,4.6,4020,353
OnePlus,OnePlus Nord CE4,MEGA BLUE,Flipkart,20999,16838,4161,19,8,128,6.67,5500,32,50,Snapdragon 8 Gen 3 Processor,4.4,25654,1235
Samsung,Samsung Galaxy A35,Awesome Navy,Flipkart,33999,19999,14000,41,8,128,6.6,5000,13,20,Samsung Exynos 1380 Processor,4.3,22174,1486
POCO,POCO X7 5G,Yellow,Flipkart,24999,15999,9000,36,8,128,6.67,5500,20,50,Dimensity 7300 Ultra Processor,4.3,13142,1155
Infinix,Infinix Note 50s,Marine Drift,Flipkart,19999,14999,5000,25,6,128,6.78,5500,13,50,Dimensity 7300 Ultimate Processor,4.4,1276,86
POCO,POCO M7 Pro,Olive Twilight,Flipkart,18999,12999,6000,31,6,128,6.67,5110,20,20,Dimensity 7025 Ultra Processor,4.3,17015,1472
Nothing,Nothing Phone,3a White,Flipkart,27999,24999,3000,10,8,128,6.67,5000,32,50,7s Gen3 Processor,4.5,29639,2517
IQOO,IQOO Z10X 5G,Ultramarine,Flipkart,17499,13690,3809,21,6,128,6.7,6500,8,50,7s Gen3 Processor,4.4,2066,120
IQOO,IQOO Z10X 5G,Ultramarine,Flipkart,17499,13690,3809,21,6,128,6.7,6500,8,64,Dimensity 8350 Ultimate Processor,4.4,2066,120
Infinix,Infinix GT 30,Blade White,Flipkart,31999,24999,7000,21,8,256,6.78,5500,13,50,Dimensity 8350 Ultimate Processor,4.6,8521,450
Samsung,Samsung Galaxy S24,Blue,Flipkart,59999,35999,24000,40,8,128,6.7,4700,10,50,Exynos 2400e Processor,4.5,12849,1043
Samsung,Samsung Galaxy S24,Blue,Flipkart,59999,35999,24000,40,8,128,6.7,4700,10,50,Exynos 2400e Processor,4.5,12849,1043
CMF,CMF by Nothing,Black,Flipkart,22999,18999,4000,17,8,128,6.77,5000,16,50,Dimensity 7300 Pro 5G Processor,4.4,15881,1311
IQOO,IQOO Z10 5G,Glacier Silver / Silver,Flipkart,27999,23358,4641,16,8,256,6.77,7300,12,50,Dimensity 7300 Pro 5G Processor,4.4,2045,114
