Brand,Brand_Model,Color,Platform,MRP,Selling_Price,Discount_Price,Discount,RAM,ROM,Display_Size,Battery,Front_Cam(MP),Back_Cam(MP),Processor,Ratings,Rating_Count,Review_Count
iqoo,z10x 5g,tornado green,amazon,20499,16498,4001,20,4,128,6.7,6000,16,50,snapdragon 7s gen 3,4.2,3050,490
iqoo,z9x 5g,violet garden,amazon,17999,11999,6000,33,12,256,6.88,5000,8,50,snapdragon 4s gen 2,4.2,2950,465
infinix,zero 40,natural titanium,amazon,37999,25999,12000,32,6,512,6.88,5000,8,50,snapdragon 4 gen 2,4.8,9800,1850
redmi,a4 5g,starlight blue,amazon,11999,8798,3201,27,4,64,6.6,5160,13,50,dimensity 6300,4.1,3600,570
redmi,14c 5g,serene green,amazon,12999,9498,3501,27,6,128,6.6,5000,16,50,dimensity 7025 ultra,4.4,6050,945
samsung,galaxy m36,hawaiian blue,amazon,22999,17499,5500,24,8,128,6.67,5000,8,50,mediatek g85,4.3,4100,650
redmi,13 5g,sierra black,amazon,19999,11699,8300,42,8,128,6.79,5000,16,108,snapdragon 4 gen 2 ae,4.4,5500,875
oneplus,10r 5g,icy blue,amazon,38999,28999,10000,26,12,512,6.7,4000,16,50,snapdragon 7s gen 3,4.7,8900,1540
redmi,note 14,spectre blue,amazon,34999,27999,7000,20,8,256,6.6,5000,13,50,dimensity 6300,4.5,6320,1015
redmi,note 14,starry black,amazon,36999,29999,7000,19,4,128,6.6,5000,16,50,dimensity 7025 ultra,4.1,3660,580
redmi,a4 5g,starlight blue,amazon,11999,8798,3201,27,4,64,6.67,5160,8,50,mediatek g85,4.1,3610,570
redmi,14c 5g,serene green,amazon,12999,9498,3501,27,8,256,6.79,5000,16,108,snapdragon 4 gen 2 ae,4.4,6080,950
samsung,galaxy m36,blazing black,amazon,27499,21999,5500,20,6,128,6.7,5000,13,108,snapdragon 7s gen 3,4.2,3250,525
samsung,galaxy m06,ivy green,amazon,15499,10049,5450,35,8,128,6.6,5000,8,50,snapdragon 7 gen 1,4.3,4750,770
redmi,note 14,ivy green,amazon,22999,17999,5000,22,8,128,6.6,5000,8,50,mediatek dimensity 6300,4.4,5236,945
lava,bold n1,stealth black,amazon,8399,6898,1501,18,4,128,6.6,5000,16,50,dimensity 7025 ultra,4,3652,390
redmi,13 5g,starry black,amazon,19999,11699,8300,42,6,128,6.67,5000,16,50,mediatek g85,4.2,2365,650
redmi,note 14,starry black,amazon,34999,27999,7000,20,8,128,6.79,5000,8,50,snapdragon 4 gen 2 ae,4.5,2369,995
samsung,galaxy m36,serene green,amazon,27499,21999,5500,20,8,256,6.7,5000,16,50,snapdragon 7s gen 3,4.5,2022,1015
samsung,galaxy m06,blazing black,amazon,15499,10049,5450,35,6,128,6.6,5000,13,50,snapdragon 7 gen 1,4,3045,470
redmi,note 14,ivy green,amazon,22999,17999,5000,22,8,128,6.6,5000,13,50,mediatek dimensity 6300,4.3,2581,770
lava,bold n1,titanium gold,amazon,8399,6898,1501,18,4,128,6.6,5000,13,50,dimensity 7025 ultra,4.2,1236,500
redmi,13 5g,starry black,amazon,19999,11699,8300,42,6,128,6.67,5000,8,50,mediatek g85,4.3,1452,540
redmi,note 14,starry black,amazon,34999,27999,7000,20,8,128,6.88,5000,8,50,snapdragon 4s gen 2,4.3,1236,575
samsung,galaxy m36,serene green,amazon,27499,21999,5500,20,8,256,6.7,5000,16,50,snapdragon 7s gen 3,4.2,4852,490
samsung,galaxy m06,blazing black,amazon,15499,10049,5450,35,6,128,6.6,5000,13,50,mediatek dimensity 6300,4.2,4265,465
redmi,note 14,ivy green,amazon,22999,17999,5000,22,8,128,6.6,5000,13,50,snapdragon 7 gen 1,4.8,1253,1850
lava,bold n1,stealth black,amazon,8399,6898,1501,18,4,128,6.6,5000,16,50,dimensity 7025 ultra,4.1,4236,575
redmi,13 5g,starry black,amazon,19999,11699,8300,42,4,64,6.67,5000,8,50,mediatek g85,4.1,1259,570
redmi,note 14,starry black,amazon,34999,27999,7000,20,8,128,6.79,5000,16,108,snapdragon 4 gen 2 ae,4.4,952,945
samsung,galaxy m36,velvet black,amazon,27499,21999,5500,20,8,256,6.88,5000,8,50,snapdragon 4s gen 2,4.3,1254,650
samsung,galaxy m06,blazing black,amazon,15499,10049,5450,35,6,128,6.6,5000,8,50,snapdragon 4s gen 3,4.4,4523,875
redmi,note 14,ivy green,amazon,22999,17999,5000,22,8,128,6.6,5000,16,50,snapdragon 4s gen 4,4.7,6325,1540
lava,bold n1,titanium gold,amazon,8399,6898,1501,18,4,128,6.7,5000,16,108,snapdragon 4s gen 5,4.5,5230,995
redmi,13 5g,starry black,amazon,19999,11699,8300,42,6,64,6.5,5000,8,50,snapdragon 4s gen 6,4.5,1254,1015
redmi,note 14,starry black,amazon,34999,27999,7000,20,8,128,6,5000,8,50,snapdragon 7 gen 1,4.1,6520,580
samsung,galaxy m06,blazing black,amazon,15499,10049,5450,35,6,128,6.3,5100,8,108,dimensity 7025 ultra,4.1,5208,570
samsung,galaxy m36,orange haze,amazon,22999,17499,5500,24,6,128,6.6,5000,13,108,mediatek g85,4.4,5201,950
redmi,note 14,ivy green,amazon,22999,17999,5000,22,8,128,6.8,5000,16,50,snapdragon 4 gen 2 ae,4.2,1209,525
lava,bold n1,stealth black,amazon,8399,6898,1501,18,4,128,6.8,4500,8,50,snapdragon 4s gen 2,4.3,3024,770
redmi,13 5g,starry black,amazon,19999,11699,8300,42,4,128,6.7,5000,8,50,snapdragon 4s gen 3,4.3,4203,459
redmi,a4 5g,sparkle purple,amazon,11499,8798,2701,23,4,128,6.6,5000,13,50,snapdragon 4s gen 4,4,2015,1039
